comment;date;user;hate
alroooo 😂uncle u to;2023-07-23T12:15:02.360871+00:00;UCddj6E4UECPUGwU-ARcnfTw;0
Pinky 🌚;2023-07-23T12:15:18.476472+00:00;UCA6WVKRpSNdXW2tyz8wh9PA;0
#YoBen:face-orange-biting-nails:u can't leave this job;2023-07-23T12:15:30.051004+00:00;UCi1lCLY8Q1RNXqr5ZbCA6FA;0
Harry brother hellooooooooooo itnayy dinoooo baad ?;2023-07-23T12:15:41.761265+00:00;UCoMXkSUphnvCnuBhPYeJMbQ;0
oye em baadalu unnayi mowa 🤔😂😂;2023-07-24T13:54:31.593468+00:00;UCf_xfhfIocJ_TeRvt6wwPrQ;1
music sunti ho kya;2023-07-24T13:54:40.407968+00:00;UChiycYOI9FQ3tTqnmFy0uzw;0
🎵🎶;2023-07-24T13:54:48.204651+00:00;UCS-96wasdC3HgIgqapC0lSQ;0
piak ikan wd;2023-07-24T13:55:06.252588+00:00;UCgg8yKtcrVrcFHcok-XSkXQ;0
Xittt;2023-07-24T13:55:14.064378+00:00;UCzjpWxgQAKsrrXRL7YU5JLg;0
:cat-orange-whistling:;2023-07-24T13:55:24.85714+00:00;UCFYXW8PjGx3s5F0HaMfCZhw;0
🤑💵🤑💸🤑💰paise bnao paise! 🤪;2023-07-24T13:55:29.24301+00:00;UC54rYOPO5THlEmLr2hAeQRw;0
العراق وانت;2023-07-24T13:55:42.209574+00:00;UCGsArAfzIRerkX0cZjSFKEw;0
assignment complete kr liya;2023-07-24T13:55:53.14952+00:00;UCFYXW8PjGx3s5F0HaMfCZhw;0
lol 😂;2023-07-24T14:09:43.749624+00:00;UCf_xfhfIocJ_TeRvt6wwPrQ;0
okay then 😐;2023-07-24T14:10:04.574584+00:00;UC1FqeBl3nuY4kHPB95GZ6DQ;0
or kon?;2023-07-24T17:34:20.473179+00:00;UCx5XtqX58prrCBZ_QDkhm_Q;0
Behn stokes;2023-07-24T17:34:32.909247+00:00;UCm4L0q4YPAL0lFH-7zhvvrg;0
Ishkia are yrr 🤪🤪😂🤭;2023-07-24T17:34:41.544484+00:00;UCJTUqXA9_39Hx4iR7TlJK_g;0
exit;2023-07-24T17:34:57.514376+00:00;UCdHlNQu43SvCv4c-vMnagHA;0
Bhajman narayan narayan hari hari 🎵;2023-07-24T17:35:13.522563+00:00;UCm4L0q4YPAL0lFH-7zhvvrg;0
hii hunk;2023-07-24T17:37:38.132839+00:00;UCCvotrewTnHurkjcrA6beqQ;0
ishika tum din me bhi ati ho 🤔;2023-07-24T17:37:49.282025+00:00;UCMDkTbakfWoMfXuu1cMuCqA;1
!♡;2023-07-24T17:50:44.851823+00:00;UCjIeLXmWT_c2YGJ7H2iPjQg;0
yesss 😂...im;2023-07-24T17:51:03.061102+00:00;UCrkTOZ25Q04VFva47nbA88w;0
!key to sleep;2023-07-24T17:51:11.10062+00:00;UCBHtUvIucAYf_3ZvbOydnjw;0
Good night all;2023-07-24T17:51:23.875882+00:00;UCJTUqXA9_39Hx4iR7TlJK_g;0
kathal ki sabji =chicken;2023-07-24T17:51:34.159064+00:00;UCSi2cD8igTeR9bA2OFVxynw;0
:yougotthis:;2023-07-24T17:51:51.449425+00:00;UCsZ2vjAzILBAjne0Co8NQBA;0
🌴;2023-07-24T17:52:11.1525+00:00;UCEpxIqTKwlfwd6q92EFcuOA;0
......;2023-07-24T17:52:25.228714+00:00;UCjPDRoFoBBCOB2GWW6ucuyA;0
sad soul 🤣;2023-07-24T17:52:32.537412+00:00;UCMDkTbakfWoMfXuu1cMuCqA;0
