Date;Holiday;Month;Day;Year
2004-01-01;New Year's Day;1;1;2004
2004-01-19;Martin Luther King, Jr. Day;1;19;2004
2004-02-14;Valentine’s Day;2;14;2004
2004-02-16;Washington's Birthday;2;16;2004
2004-04-11;Eastern Easter;4;11;2004
2004-04-11;Western Easter;4;11;2004
2004-05-31;Memorial Day;5;31;2004
2004-06-19;Juneteenth;6;19;2004
2004-07-04;4th of July;7;4;2004
2004-09-04;Labor Day Weekend;9;4;2004
2004-09-05;Labor Day Weekend;9;5;2004
2004-09-06;Labor Day;9;6;2004
2004-10-11;Columbus Day;10;11;2004
2004-11-11;Veterans Day;11;11;2004
2004-11-24;Thanksgiving Eve;11;24;2004
2004-11-25;Thanksgiving Day;11;25;2004
2004-12-24;Christmas Eve;12;24;2004
2004-12-25;Christmas Day;12;25;2004
2004-12-31;New Year’s Eve;12;31;2004
2005-01-01;New Year's Day;1;1;2005
2005-01-17;Martin Luther King, Jr. Day;1;17;2005
2005-02-14;Valentine’s Day;2;14;2005
2005-02-21;Washington's Birthday;2;21;2005
2005-03-27;Western Easter;3;27;2005
2005-05-01;Eastern Easter;5;1;2005
2005-05-30;Memorial Day;5;30;2005
2005-06-19;Juneteenth;6;19;2005
2005-07-04;4th of July;7;4;2005
2005-09-03;Labor Day Weekend;9;3;2005
2005-09-04;Labor Day Weekend;9;4;2005
2005-09-05;Labor Day;9;5;2005
2005-10-10;Columbus Day;10;10;2005
2005-11-11;Veterans Day;11;11;2005
2005-11-23;Thanksgiving Eve;11;23;2005
2005-11-24;Thanksgiving Day;11;24;2005
2005-12-24;Christmas Eve;12;24;2005
2005-12-25;Christmas Day;12;25;2005
2005-12-31;New Year’s Eve;12;31;2005
2006-01-01;New Year's Day;1;1;2006
2006-01-16;Martin Luther King, Jr. Day;1;16;2006
2006-02-14;Valentine’s Day;2;14;2006
2006-02-20;Washington's Birthday;2;20;2006
2006-04-16;Western Easter;4;16;2006
2006-04-23;Eastern Easter;4;23;2006
2006-05-29;Memorial Day;5;29;2006
2006-06-19;Juneteenth;6;19;2006
2006-07-04;4th of July;7;4;2006
2006-09-02;Labor Day Weekend;9;2;2006
2006-09-03;Labor Day Weekend;9;3;2006
2006-09-04;Labor Day;9;4;2006
2006-10-09;Columbus Day;10;9;2006
2006-11-11;Veterans Day;11;11;2006
2006-11-22;Thanksgiving Eve;11;22;2006
2006-11-23;Thanksgiving Day;11;23;2006
2006-12-24;Christmas Eve;12;24;2006
2006-12-25;Christmas Day;12;25;2006
2006-12-31;New Year’s Eve;12;31;2006
2007-01-01;New Year's Day;1;1;2007
2007-01-15;Martin Luther King, Jr. Day;1;15;2007
2007-02-14;Valentine’s Day;2;14;2007
2007-02-19;Washington's Birthday;2;19;2007
2007-04-08;Eastern Easter;4;8;2007
2007-04-08;Western Easter;4;8;2007
2007-05-28;Memorial Day;5;28;2007
2007-06-19;Juneteenth;6;19;2007
2007-07-04;4th of July;7;4;2007
