id;comments;date;hate
0;cuando me lo regalan?;2022-10-10;0
1;Etiquetadme 😂;2022-10-9;0
2;samsung you're better than apple;2022-10-5;0
3;Yes we love creases in our phone;2022-10-5;0
4;Je vous promets que vous êtes au dessus d’Apple et je m’engage à prendre à samsung si vous faites des efforts niveau emoji;2022-10-9;0
5;I bet apple will copy this…. They keep making new phones with hardly any change. They will probably try something totally new soon;2022-10-9;0
6;Wait til the hinge gets stuck;2022-10-7;0
7;pagi;2022-10-11;0
8;C est moi ou on dirait un peu ma musique de giga chad;2022-10-7;0
9;Nah bros phone is a laptop💀;2022-10-6;0
10;I would really like a free one 😂;2022-10-4;0
11;I’m getting one (switching from Apple to Samsung😉);2022-10-8;0
12;Got it already love it 🙌;2022-10-9;0
13;sholawatin dulu..mdh2an jadi rejeki🥰;2022-10-12;0
14;สวบน่าใช้;2022-10-14;0
15;j'adore 🥰🥰;2022-10-7;0
16;Samsung I wanna do a review can you please send me a flip 4?;2022-10-6;0
17;nungguin Samsung bisa dark mode ke tik tok 🥲;2022-10-7;1
18;Candra:ardnaC;2022-10-12;0
19;damn 🔥💪🏼;2022-10-4;0
20;just one note , this phone screen can crease after a while and you can see the line on the screen;2022-10-8;0
21;I will wait till apple does it better;2022-10-9;0
22;@theodortytb qu est ce tu fais au debut de la vidéo;2022-10-7;0
23;@samsung i accidently broke my moniter and how do i fix this plzzz tell me😰😭😭😭😭;2022-10-5;0
24;Just got my son one for his birthday he loves it 😁;2022-10-9;0
25;@@🔑🔑 c'est un signe il me le faut..;2022-10-9;0
26;Galaxy note 7 explosion this is looking got failed footage of explosion;2022-10-6;0
27;hp Kya gtu 14juta anjrr😂;2022-10-15;0
28;im your funny dog from your image test;2022-10-6;0
29;เริ่มเลอ;2022-10-12;0
30;I rly want this phone;2022-10-9;0
31;pengen duh pengen iphone 14 pro🤲;2022-10-13;0
32;spill harga;2022-10-12;0
33;berbeda dengan samsung ku🗿;2022-10-12;0
34;uda Samsung galaxy flip 4 5g aja😭😭😭 yang Samsung galaxy flip3 5g aja belom kebeli😭😭😭;2022-10-12;0
35;haha mon tel 😏;2022-10-7;0
36;I want galaxy z flip 4;1-21;0
37;love u @samsung;1-1;0
38;bismilah semoga dapet dan tidak ada ongkos dan pembayaran amin;2022-11-8;1
39;dit is goed gelukt echt mooi🥰;2022-10-18;0
40;aseeek;2022-10-16;0
41;arw) /;2022-10-16;0
42;tak sholawatin dlu semoga rejeki;2022-10-16;0
43;เราใช้อยู่ๆ;2022-10-16;0
44;bagus😳;2022-10-16;0
45;สวัสดีครับ;2022-10-16;0
46;naksir bet sama zflip4:'(;2022-10-16;0
47;kok aku insecure;2022-10-16;0
48;samsung note10ultra hadir;2022-10-16;0
49;Samsung Z flip adalah hp flagship dengan charging 25W sama RAM 8GB🗿;2022-10-16;0
50;ikuri;2022-10-16;0
51;hp Sunoo;2022-10-16;0
52;siyak;2022-10-16;0
53;"permisi mohon bertanya
cara perbaiki hp samsung A12 yang mati total";2022-10-16;0
54;I want the Samsung but it's free😂;2022-10-16;0
55;mama ku punya loh beneran;2022-10-16;0
56;Allahumma sholli alaa muhammad , tahun baru ganti Hp , buat kado diri sendiri 🥰 Aamiin;2022-10-16;1
57;สวัสดีคะ;2022-10-16;0
58;สวัสดีค่ะ🥰🥰🥰🥰🥰;2022-10-16;0
59;knp samsungku batre nya boros;2022-10-16;0
60;iPhone;2022-10-16;0
61;satu kata kereeen;2022-10-15;0
62;สวยครับตามครับ;2022-10-15;0
63;คนทำเคสโทรศัพ☠️;2022-10-15;0
64;keren;2022-10-15;0
65;aw;2022-10-15;0
66;hp teridaman gw;2022-10-15;0
67;i mean if you misshear it it can be s word;2022-10-15;0
68;"Hanya bisa melihat
tapi bukan memiliki🥺";2022-10-15;0
69;kasih akku , aku mah ngak punya duit buat beli , lw ada gratis aku mau kok 😁;2022-10-15;1
70;pecah lcd nya;2022-10-15;0
71;guwe yang masih pake j7 prime jadi pingin ganti tapi lihat isi dompet masih kurang banyak;2022-10-15;0
72;keren 👍🏻👍🏻;2022-10-15;0
73;maaf bukannya gak mau beli tapi duit/harga nya gak ngedukung😔😔;2022-10-15;0
74;moga sukswa selalu;2022-10-15;0
75;@j4nlvrr duit ku menangis melihat ini😔;2022-10-15;0
76;สวย;2022-10-15;0
77;kapan lah bisa ke beli hp ini🥰🥰🥰🥰🥺🥺🥺 di shalawatin dulu bismillah;2022-10-15;0
78;harganya bukan main😳;2022-10-15;0
79;ya Allah kasih aku rejeki buat beli HP ungu ini Aamiin 🥺;2022-10-15;0
80;ada versi HDC nya ga? yg harga 1 JT an;2022-10-15;1
81;allahumma sholli ala sayyidina Muhammad 🙂qobul yaallah;2022-10-15;1
82;gimana coba caranya nyari angel;2022-10-15;0
83;kakumuina ra;2022-10-15;0
84;g bisa tidur x,,KLO g tiktokan dulu 😂😁;2022-10-15;0
85;yes;2022-10-15;0
86;ติดตามคะ🥰;2022-10-15;0
87;แล้วฉันพึ่งซื้อไอโฟน11มา  อ่าวว😂😂;2022-10-15;0
88;danielsjack518 🥰🥰;2022-10-15;0
89;pagi🥰;2022-10-15;0
90;72;2022-10-15;0
91;secinta itu aku sama Samsung tapi mehong 😂🥰;2022-10-15;0
92;ใครเค้าเล่นกัน;2022-10-15;0
93;Bonjour, petit message pour dire que j'ai commandé un z flip il y a plus d'un mois. Problème de livraison qui devait etre en 48h... on me réclame le r;2022-10-14;0
94;until Apple does this, it will never be necessary 🥱🥱;2022-10-14;0
95;🗿🗿🗿โอ้โหมันก็แพ้ลูกผู้ชาย😂;2022-10-14;0
96;wow keren🥰;2022-10-14;0
97;สวยมาก;2022-10-14;0
98;🥰🥰🥰🥰สวยมากครับ;2022-10-14;0
99;Alhamdulillah semoga sukses;2022-10-14;0
100;hp namjoon;2022-10-14;0
101;99+;2022-10-14;0
102;99;2022-10-14;0
103;@naayy.ll aku yg ini aja nai gapapa kok😊😊;2022-10-14;1
104;สวยดี;2022-10-14;0
105;bismillah suatu hari bisa kebeli aAmiin;2022-10-14;0
106;Anak kelahiran mei jago main musik apa aja yang penting;2022-10-14;0
107;@smsnsasmamewjj;2022-10-14;0
108;bagus;2022-10-14;0
109;bello😁;2022-10-14;0
110;Cuman pingin tau lagu nya? 🥺;2022-10-14;0
111;hp mak gw 😂;2022-10-14;0
112;kerennn;2022-10-14;0
113;@p@bLo gaskan mi;2022-10-14;0
114;Donate me one I’m poor;2022-10-14;0
115;"เรา
ทำ
ได้";2022-10-14;0
116;keren;2022-10-14;0
117;"di Bali cuma 2jt aja😭
pas itu aku di belikan hp baru eh ngeliat z flip cuma 2 JT doang";2022-10-14;1
118;mau;2022-10-14;0
119;hp gagal punya gua kameranya klo dipake flashnya gk kliatan apa-apa mengecewakan;2022-10-14;0
120;3+3-6;2022-10-14;0
121;saya masih stay di galaxy j7 prime🥰;2022-10-14;0
122;sukses selalu;2022-10-14;0
123;aku pengguna samsung, tgl 26 aku ultah loh ,samsung gk mau ngirim hadiah nihhhh😂😂;2022-10-14;0
124;good;2022-10-14;0
125;battery sorted yet? it was the worst battery life I had ever experienced;2022-10-14;0
126;keren 👍👍👍;2022-10-14;0
127;ราคา;2022-10-14;0
128;wait.... i feel like giga chad;2022-10-14;0
129;salam siang;2022-10-14;0
130;This is gameboy advance sp? 😂;2022-10-14;0
131;99+;2022-10-14;0
132;вау;2022-10-14;0
133;@haaaaaa😅😅😅;2022-10-14;0
134;สวัสดีจ้า🥰🥰ว้าวสุดยอดจ้า🥰🥰🥰;2022-10-14;0
135;sorry we stay on iphone 😅, iOS does not having many feature to making looking good, just we're not your market target;2022-10-14;0
136;อยากได้มาก;2022-10-14;0
137;alhamdulilah aku dah punya🥰 emang sebagus itu🥰🥰😍😍😍😍😍;2022-10-14;0
138;oh yaudah kirim in;2022-10-14;0
139;Don‘t I got the same angle when I just turn my phone?😃;2022-10-13;0
140;@harrietsarsfield ohhhh flipflop;2022-10-13;0
141;SAMSUNG j1 ice lebih kuat 😌;2022-10-13;0
142;🥰🥰hi🥰🥰🥰####;2022-10-13;0
143;i have this phone its great i dont have to balance my phone everywhere to call my friends🤭🤭;2022-10-13;0
144;just wait until it exploded;2022-10-13;0
145;Hape horang kaya;2022-10-13;0
146;tanpa di sadari ada lagu gichat;2022-10-13;0
147;cuman bisa mengucapkan istighfar yaa, hemm.. kapan punya Zflip;2022-10-13;0
148;samsung j1ace nyimak;2022-10-13;0
149;สวยมาก;2022-10-13;0
150;Cek happy boss;2022-10-13;0
151;gift me;2022-10-13;0
152;i want that phone give to me samsungggggg 😭🤣;2022-10-13;0
153;can I get free😂😂😂😂;2022-10-13;0
154;you are new in Europe, i;2022-10-13;0
155;Iphone 🥰;2022-10-13;0
156;Pengen tapi apa lah daya enggk mampu mau beli;2022-10-13;0
157;pengen beli Samsung galaxy j2 prime;2022-10-13;0
158;I think iPhone camera is better quality. especially the stability when recording, the video results are very good. btw,I'm a Samsung user.;2022-10-13;0
159;Why I got this advertisement I got it already;2022-10-13;0
160;giga Chad theme 🗿;2022-10-13;0
161;kagak kebeli 😁;2022-10-13;1
162;Apple for the win;2022-10-12;0
163;If you send me one I will throw out all my apple products;2022-10-12;1
164;penginnnn;2022-10-12;0
165;Magic John doesn’t work on Samsung tho does it?;2022-10-12;0
166;alhamdulilah sudah punya;2022-10-12;0
167;pengen🥺v apa dayaku ☺otang tk pnya;2022-10-12;0
168;im using a samsung;2022-10-12;0
169;ios plus rapide que android;2022-10-12;0
170;Do you want a massive crease in the middle of the phone not me;2022-10-12;0
171;"nyesal aku beli samsumg A32
baterai boros, lama ngecas lelet.
main mobile legend resolusi hight hp panas trus patah².
main CODM grafik rendah bisanya";2022-10-12;0
172;Hello Samsung, My cellphone with the SAMSUNG A 13 brand is not compatible, how do I fix it? Please help me;2022-10-12;0
173;je veux;2022-10-12;0
174;ak mau kak;2022-10-12;0
175;met malen🥰🥰🥰🥰;2022-10-12;0
176;aku berharap memilikinya;2022-10-12;0
177;sukses terus SAMSUNG;2022-10-12;0
178;kren;2022-10-12;0
179;sakit apa mba;2022-10-12;0
180;flks balik;2022-10-12;0
181;En vrai c stylé @😵‍💫😵‍💫😵‍💫;2022-10-12;0
182;FLEX YOUR ANGLE 🤳🦾😚;2022-10-12;0
183;@jn;2022-10-12;0
184;I got the DSi I'm fine;2022-10-12;0
185;@Lalitha :) look they got u phone;2022-10-11;0
186;Samsung haves an isaiah;2022-10-11;0
187;Isaiah hand;2022-10-11;0
188;J’adore 👍🏻;2022-10-11;0
189;Dreams use it and found just 1 angle;2022-10-11;0
190;@k.mbapp_07 pov maman la eu gratos;2022-10-11;0
191;@meganne1912 mon tel😏😂;2022-10-11;0
192;Skate Park de agora mdrr;2022-10-11;0
193;super sympas cette petite pub;2022-10-11;0
194;SLAAAYY;2022-10-11;0
195;interesting,hope to make a friend with you;2022-10-11;0
196;this is just a Nintendo dsi;2022-10-10;1
197;cela fait quelques jours que j'y pense demain je vais le chercher 🥰🥰🥰🥰;2022-10-10;0
198;💪💪💪IPHONEEE💪💪💪💪;2022-10-10;0
199;22 c'est tout bon.......;2022-10-10;0
200;What abt screen protector;2022-10-10;0
201;I would maybe buy one if you did an shell phone version (from terraria);2022-10-10;1
202;C'est quoi la musique ??;2022-10-10;0
203;je veux;2022-10-10;0
204;Nice;2022-10-10;0
205;patti labelle actually had this phone lol;2022-10-10;0
206;oh bah tiens mon téléphone 😳;2022-10-10;0
207;Hi;2022-10-10;0
208;Imagine getting some nice photos of you doing godly goals playing foot ball then someone pelts the ball misses and ends up pelting ur phone into the;2022-10-9;0
209;That's so smart 🙌;2022-10-9;0
210;Yes;2022-10-9;0
211;je le veux tellement;2022-10-9;0
212;love my z fold 3;2022-10-9;0
