comment;date;video_id;hate
I hope this giveaway can help some of you in these tough times. Remember to use this link to download Lord’s Mobile and for your chance to WIN  : http://igg.com/event/logan;2020-09-02T19:08:04Z;hk1T_um0lCA;0
Ok;2023-07-14T15:06:38Z;hk1T_um0lCA;0
Is it too late to get the car;2023-04-18T03:22:40Z;hk1T_um0lCA;0
Please can I have a shout out;2023-04-09T21:27:01Z;hk1T_um0lCA;0
Miss the vlogs :/;2023-03-20T23:44:43Z;hk1T_um0lCA;0
Gyiuyfvuyfvtv;2023-03-12T03:15:02Z;hk1T_um0lCA;0
Can I have a pc;2023-03-08T07:04:02Z;hk1T_um0lCA;1
Y’all are weak if you support Biden 💀;2022-12-11T17:17:54Z;hk1T_um0lCA;1
Sub to airrackkkkkkkkkkkkkkkkkk;2022-12-08T17:36:15Z;hk1T_um0lCA;0
SUB TO aRRICK;2022-12-03T02:46:19Z;hk1T_um0lCA;0
sub 2 airrack;2022-11-25T14:20:50Z;hk1T_um0lCA;0
How tf did he get a sponsor lol;2022-11-15T02:25:10Z;hk1T_um0lCA;0
Wyd;2022-10-30T23:07:36Z;hk1T_um0lCA;1
Sub airrack;2022-10-09T04:40:49Z;hk1T_um0lCA;0
Bro why are the subtitles Arabic 🤨;2022-09-13T12:41:45Z;hk1T_um0lCA;0
Sub to airack;2022-09-11T00:41:48Z;hk1T_um0lCA;0
I love your videos just really Getting into this channel!;2022-09-05T02:06:09Z;hk1T_um0lCA;0
Sub to Airrak;2022-09-03T13:59:04Z;hk1T_um0lCA;0
Sub to Airrack;2022-09-03T12:14:11Z;hk1T_um0lCA;0
Subscribe to Airrack;2022-09-02T20:47:14Z;hk1T_um0lCA;0
Can you please make a coca cola flavour prime;2023-07-17T16:08:07Z;jxChwc0d5Jo;0
We got prime boys;2023-07-17T06:29:31Z;jxChwc0d5Jo;0
I actually like that video so I subscribe and like;2023-07-17T02:58:28Z;jxChwc0d5Jo;0
Guys prime is a drug it's energy drink its for peaple who work for nights;2023-07-17T01:59:06Z;jxChwc0d5Jo;0
Hey Logan I just made my own flavor of prime hit me up;2023-07-17T01:45:59Z;jxChwc0d5Jo;0
As you end your own hopefully..;2023-07-17T01:27:13Z;jxChwc0d5Jo;0
your the best;2023-07-16T20:13:30Z;jxChwc0d5Jo;0
I Love PRIME!!!!!;2023-07-16T20:12:59Z;jxChwc0d5Jo;0
Logan can you please make my own flavour of prime 😂😂😂😂😂😂😂😂;2023-07-16T19:36:46Z;jxChwc0d5Jo;0
PRIIIIIIMMMMMMMME;2023-07-16T18:20:11Z;jxChwc0d5Jo;0
You guys should make a Diamondbacks prime drink;2023-07-16T06:52:34Z;jxChwc0d5Jo;0
Clowns;2023-07-16T05:17:34Z;jxChwc0d5Jo;1
Logan Paul, I have prime at home I love it so much;2023-07-15T21:51:24Z;jxChwc0d5Jo;0
Dude am drinking prime right now ice pop;2023-07-15T16:16:00Z;jxChwc0d5Jo;0
Maybe never mind;2023-07-15T15:58:07Z;jxChwc0d5Jo;0
Hey bro, get me over there and roast the freak out of them, the girls I might even tackle them keep them on the floor😂;2023-07-15T15:57:24Z;jxChwc0d5Jo;0
9:04;2023-07-15T14:29:27Z;jxChwc0d5Jo;0
Logan Paul you need to see me Pitch;2023-07-15T12:47:33Z;jxChwc0d5Jo;0
I have 10 bottles of lemonade prime;2023-07-15T12:28:46Z;jxChwc0d5Jo;0
LoL;2023-07-17T14:30:17Z;FIVzREhIhUY;0
while prime is lying about being an electrolyte drink while barely having any sodium is CRAZYY, knowing that the main electrolyte that should be in a sports drink IS sodium;2023-07-17T14:20:10Z;FIVzREhIhUY;0
I dont care;2023-07-16T16:33:25Z;FIVzREhIhUY;0
When is prime coming to India????;2023-07-16T12:55:19Z;FIVzREhIhUY;0
Hey Logan Paul can you launch prime in egypt;2023-07-16T00:16:23Z;FIVzREhIhUY;0
NEVER never EVER mess with Aussie man , we get what we want 😂❤;2023-07-15T13:38:35Z;FIVzREhIhUY;0
absorber **** your mouth it not scary;2023-07-15T09:37:57Z;FIVzREhIhUY;0
Prime is in Danmark ❤❤;2023-07-14T19:35:02Z;FIVzREhIhUY;0
Why logan using an emotional background sound;2023-07-14T16:53:36Z;FIVzREhIhUY;0
Hey Logan Paul I just wanted to say I like prime and I got the new lemonade flavor;2023-07-14T14:16:39Z;FIVzREhIhUY;0
Dang I wished dang I wish he did leave prime sucks bro;2023-07-13T22:25:06Z;FIVzREhIhUY;0
Can you make Real Madrid as a partner?;2023-07-13T18:14:28Z;FIVzREhIhUY;0
Are you a maker?;2023-07-13T15:03:41Z;FIVzREhIhUY;1
please launch it in India;2023-07-13T08:12:27Z;FIVzREhIhUY;0
Bro big fan;2023-07-13T06:36:13Z;FIVzREhIhUY;0
Why is there only four flavours of prime in South Africa;2023-07-13T05:03:12Z;FIVzREhIhUY;0
They dont own Prime , they have 20% something. Its just bs;2023-07-12T09:02:16Z;FIVzREhIhUY;0
Do not drink prime it can cause cancer😢;2023-07-11T23:39:19Z;FIVzREhIhUY;0
Please make more lemonade prime. A lot of people don’t like the fact that it’s limited edition in the only 10,000 were made. Please have lemonade, prime come back.;2023-07-17T14:22:59Z;ebha0MzwtU8;0
I ❤ prime!!!!!!!!!!!!!!!!!!!!! Speaking of prime I have prime in the UK!!!!!!!!!!!!!!!!!!!!!!!;2023-07-15T12:09:07Z;ebha0MzwtU8;0
When will prime launch in the entire world?;2023-07-15T11:32:03Z;ebha0MzwtU8;0
Yooo, this was so fire that canada banned it for high caffeine;2023-07-15T06:47:19Z;ebha0MzwtU8;0
Bro it cost 15 dollars;2023-07-14T12:13:44Z;ebha0MzwtU8;0
Make a lemonade prime energy and a meta moon prime energy;2023-07-14T00:18:12Z;ebha0MzwtU8;0
Please can you make a blues hockey prime the name is bluesberry and the flavor is blueberry and for the cover make it blue and yellow please and thank you!😊❤🙏😉I love your videos 🙏;2023-07-12T01:34:31Z;ebha0MzwtU8;0
Day one of trying to get my own prime;2023-07-11T14:36:26Z;ebha0MzwtU8;0
Prime fuckingn sucks and he’s lying about the sugar;2023-07-10T06:37:21Z;ebha0MzwtU8;0
prime is so unhealthy;2023-07-10T04:08:34Z;ebha0MzwtU8;0
I love Meta moon so much😜;2023-07-10T01:45:39Z;ebha0MzwtU8;0
I hate Logan and his brother so much;2023-07-09T21:38:59Z;ebha0MzwtU8;0
I bought prime lemonade isaw you tho;2023-07-09T21:17:54Z;ebha0MzwtU8;0
FDA is forced to investigate his drinks now…;2023-07-09T19:20:48Z;ebha0MzwtU8;0
Logal;2023-07-09T12:18:19Z;ebha0MzwtU8;0
"I tried 4 PRIME flavors

Strawberry Watermelon 🍉 🍓
Blue Raspberry 🫐
Tropical Punch 🍓🍒
Lemon Lime 🍋";2023-07-09T02:49:02Z;ebha0MzwtU8;0
Can you pls send me prime I done a video on it and it’s my Bday soon🎉🙏🙏;2023-07-08T12:06:35Z;ebha0MzwtU8;0
Prime suspect;2023-07-05T03:25:12Z;ebha0MzwtU8;0
Someone is making fun of Prime logan;2023-07-04T18:33:18Z;ebha0MzwtU8;0
Please release that is India as Indian fans are dieting to get prime;2023-07-04T13:03:49Z;ebha0MzwtU8;0
One of the best videos of all time 😮 clearly;2023-07-16T21:08:38Z;XsGOQP-B0gU;0
Dose anyone know the name of the tripod Logan was using during that midair shot?;2023-07-16T09:49:07Z;XsGOQP-B0gU;0
Can I have prime;2023-07-16T07:43:37Z;XsGOQP-B0gU;0
Send me chocolates you poooof;2023-07-16T07:17:13Z;XsGOQP-B0gU;0
this is incredible.;2023-07-15T22:43:07Z;XsGOQP-B0gU;0
I don’t mean to be dramatic, and I don’t know why, but seeing this video made me cry. You got to enjoy life and exploring and you got to take so many great photos surrounded by family and friends you got to do what most of us can only dream of and I want to thank you for sharing it with us. It is a great lesson to her just to go out an experience the world while you can.;2023-07-15T20:22:06Z;XsGOQP-B0gU;0
"Can you make this prime?
Watermelon";2023-07-15T19:43:27Z;XsGOQP-B0gU;0
Man I hate you I can’t drink any more prime you know why my mom read a Article about how bad prime was to kids;2023-07-15T01:10:15Z;XsGOQP-B0gU;0
The rock and beat j Paul for brother, love him. Gonna be you twelve gunfall and you can beat k shy;2023-07-15T00:55:47Z;XsGOQP-B0gU;0
Logan rupopo, you never take a shower, Logan.;2023-07-15T00:53:05Z;XsGOQP-B0gU;1
You should make a company of prime;2023-07-14T20:46:06Z;XsGOQP-B0gU;0
Logan Paul can u make a kids prime please because I can not drink prime because my mom said it Masis with my heart please ☹️☹️;2023-07-14T17:03:13Z;XsGOQP-B0gU;0
Why did you banned prime in Canada please I’m bandit please please please please;2023-07-14T17:02:36Z;XsGOQP-B0gU;0
So cool! I wish i could be there;2023-07-14T14:12:30Z;XsGOQP-B0gU;0
what fool wants this?;2023-07-14T11:48:44Z;XsGOQP-B0gU;1
the 99 original made me tear up. amazing work logan. this video was breathtaking.;2023-07-14T06:30:24Z;XsGOQP-B0gU;0
Hey Logan I’ve always wanted a lemonade prime can you send me some;2023-07-13T23:55:53Z;XsGOQP-B0gU;0
Get a haircut you greasy bastard.;2023-07-13T22:32:09Z;XsGOQP-B0gU;1
Co-own the PSA 10 Pikachu Illustrator with me on Liquid MarketPlace (dropping Saturday July 9th @ 3pm EST) ► https://trade.liquidmarketplace.io/signup?aff=Illustrator;2022-07-07T17:02:41Z;N4PPGuW7czQ;1
I have one Card;2023-07-17T04:12:38Z;N4PPGuW7czQ;0
Prime FOREVER!!;2023-07-16T21:17:04Z;N4PPGuW7czQ;0
Send me chocolates;2023-07-16T07:25:57Z;N4PPGuW7czQ;0
I have one of the rarest Charizard in the world one to 10 K;2023-07-15T03:50:23Z;N4PPGuW7czQ;0
I really want to prime it, but my mum don’t yet me but if I could be able loud I would be like them;2023-07-15T03:40:36Z;N4PPGuW7czQ;0
It's not perfect until it's a BGS 10..... Do it.;2023-07-14T20:55:10Z;N4PPGuW7czQ;0
You gotta upload more!!!;2023-07-14T14:13:21Z;N4PPGuW7czQ;0
Also I have a gang Gar PSA 10 if you want;2023-07-14T03:07:39Z;N4PPGuW7czQ;0
Yo mikes face;2023-07-12T13:08:10Z;N4PPGuW7czQ;0
Amazing video! I love the Pokemon content. Please make more Pokemon videos!;2023-07-11T16:25:19Z;N4PPGuW7czQ;0
"13 dollars
Done deal 🫱";2023-07-10T10:55:01Z;N4PPGuW7czQ;0
.;2023-07-10T10:40:34Z;N4PPGuW7czQ;0
I love prime Logan Paul;2023-07-10T04:28:37Z;N4PPGuW7czQ;0
You and jake are like the same lol;2023-07-10T00:58:07Z;N4PPGuW7czQ;0
BEANS;2023-07-08T12:05:22Z;N4PPGuW7czQ;0
Yo man I actually got emotional, this is beautiful haha;2023-07-08T03:26:31Z;N4PPGuW7czQ;0
Mike genuinely looks concerned hahah;2023-07-08T01:15:30Z;N4PPGuW7czQ;0
LOGAN CAN YOU PLEASE MAKE A NEW PRIME FLAVOUR CALLED ULTIMITE PRIME ITS WHEN EVERY FLAVOUR OF PRIME IS MIXED INTO ONE BOTTLE;2023-07-07T19:23:20Z;N4PPGuW7czQ;0
You don,t deserve that card;2023-07-07T00:32:54Z;N4PPGuW7czQ;0
Bring the prime water bottle into business;2023-07-16T14:54:21Z;cbGmzdjcAYw;0
I didn’t know Prime existed in 2022;2023-07-16T00:32:52Z;cbGmzdjcAYw;0
You won’t send me a box of prime Merch;2023-07-15T22:32:07Z;cbGmzdjcAYw;0
0:35 ks's face lmaoo;2023-07-15T22:22:21Z;cbGmzdjcAYw;0
Logan can you make a new prime flavour called cherryade;2023-07-14T19:42:13Z;cbGmzdjcAYw;0
I just had the ice pop flavor PRlME;2023-07-14T19:04:48Z;cbGmzdjcAYw;0
Did u hear the energy in it o heck nah;2023-07-13T23:13:04Z;cbGmzdjcAYw;0
I love prime ❤;2023-07-13T15:01:42Z;cbGmzdjcAYw;0
Day two of trying to get my own prime flavor;2023-07-13T14:40:03Z;cbGmzdjcAYw;0
Prime has surpluses in it and thats bad for you you can get illegitimate from it so can you remove it from prime so I can drink it;2023-07-13T02:57:03Z;cbGmzdjcAYw;0
