comment;date;video_id;hate
Непро;2023-07-17T16:35:01Z;CP82DAKzL1U;0
Passei aqui 👍🎮🕹️😁;2023-07-17T16:28:35Z;CP82DAKzL1U;0
rhey honking for no reason 😂😂😂;2023-07-17T16:26:36Z;CP82DAKzL1U;0
мастурбист ты топ;2023-07-17T16:26:24Z;CP82DAKzL1U;0
Привет;2023-07-17T16:26:01Z;CP82DAKzL1U;0
Перо;2023-07-17T16:25:32Z;CP82DAKzL1U;0
اريد ايفون مستر بيست ارجوك;2023-07-17T16:25:18Z;CP82DAKzL1U;0
آپ کا بہت بڑا فین ہوں;2023-07-17T16:22:09Z;CP82DAKzL1U;0
W for Mr beast EVs r trash;2023-07-17T16:21:28Z;CP82DAKzL1U;1
Pneumoniaultrascopicsilicovolcanoconiosis;2023-07-17T16:21:25Z;CP82DAKzL1U;0
.;2023-07-17T16:20:35Z;CP82DAKzL1U;0
The perfect criminal scheme;2023-07-17T16:19:04Z;CP82DAKzL1U;0
Это супер мило!;2023-07-17T16:16:47Z;CP82DAKzL1U;0
Por favor ayudame ms beest;2023-07-17T16:15:01Z;CP82DAKzL1U;0
Whare are your Mr beast Iam always with you When you Surprising  Be happy 🥰Lofe from Bangladesh;2023-07-17T16:12:45Z;CP82DAKzL1U;0
عليك أن تشرب أخطر عصير في العالم;2023-07-17T16:11:09Z;CP82DAKzL1U;0
And the papers for the car?;2023-07-17T16:09:42Z;CP82DAKzL1U;0
日本に来てくれないかな～w;2023-07-17T16:09:39Z;CP82DAKzL1U;0
Jimmy te reto a que te tomes la nueva bebida de McDonald,s;2023-07-17T16:06:49Z;CP82DAKzL1U;0
subscribe for a cookie;2023-07-08T16:32:29Z;fuhE6PYnRMc;0
Мы сбросим на вас 250тсч тонн тротилла;2023-07-17T16:35:47Z;fuhE6PYnRMc;0
Я сброшу на вас 250 тысяч тонн тратрила;2023-07-17T16:35:15Z;fuhE6PYnRMc;0
and that’s because you hacked fall guys;2023-07-17T16:34:45Z;fuhE6PYnRMc;0
168M - 200M😊sub;2023-07-17T16:34:38Z;fuhE6PYnRMc;0
Haha cool train;2023-07-17T16:34:09Z;fuhE6PYnRMc;0
Just got and tired festabals for the first time today. Love it;2023-07-17T16:34:06Z;fuhE6PYnRMc;0
cgiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII;2023-07-17T16:31:55Z;fuhE6PYnRMc;0
Making content eats a lot of mr beast, and transfers me 50 million;2023-07-17T16:31:32Z;fuhE6PYnRMc;0
Hola mr beastia;2023-07-17T16:29:42Z;fuhE6PYnRMc;0
Я в шоке:0;2023-07-17T16:29:18Z;fuhE6PYnRMc;0
Estoi en una casa ásul rei;2023-07-17T16:29:15Z;fuhE6PYnRMc;0
Trop cool mec 😎😎😎🎉😂;2023-07-17T16:28:57Z;fuhE6PYnRMc;0
Milk;2023-07-17T16:28:36Z;fuhE6PYnRMc;0
Omg;2023-07-17T16:27:40Z;fuhE6PYnRMc;0
Beo todos tus bideos;2023-07-17T16:26:23Z;fuhE6PYnRMc;0
Estoi en reinosa bibo por asieendadel sol;2023-07-17T16:25:58Z;fuhE6PYnRMc;0
Hola.mi nombre es Juan Vargas, de costa rica y quisiera trabajar para usted para mejorar la vida de.mi familia;2023-07-17T16:25:45Z;fuhE6PYnRMc;0
Mister best ben ami cumpleaños por favor;2023-07-17T16:25:11Z;fuhE6PYnRMc;1
Hola quiero que me puedas enviar un saludo a maryann y tu todos tus amigos si mister bastante;2023-07-17T16:25:10Z;fuhE6PYnRMc;0
Saitama eres tu;2023-07-17T16:35:31Z;stUofW3whpE;0
❤🔥;2023-07-17T16:22:45Z;stUofW3whpE;0
Si;2023-07-17T16:22:14Z;stUofW3whpE;0
did mitser beast watched one piece;2023-07-17T16:18:52Z;stUofW3whpE;1
컨텐츠 크기보다 나라별로 언어를 더빙하고 그게 나라별로 적용돼는건지 그게 더 신기함;2023-07-17T16:17:29Z;stUofW3whpE;0
- What makes you think you can do this role of a Pirate in POTC?;2023-07-17T16:16:25Z;stUofW3whpE;0
On a boat ride with close friends we were on there boat and we rode our boat and swam in the water and this was a thing we did alot;2023-07-17T16:14:10Z;stUofW3whpE;0
MEPUEDEMADAME QUIMIENTOS MIL DOLARES A VIEDMA.Y CHOCOLATE DE MISTER BI.A LA CALLE MITRE 1740;2023-07-17T16:12:35Z;stUofW3whpE;0
OLAMITERVISOTUFAN🎉❤😮;2023-07-17T16:09:20Z;stUofW3whpE;0
That one flight attendant;2023-07-17T16:09:02Z;stUofW3whpE;0
Love NoHo Hank;2023-07-17T16:08:13Z;stUofW3whpE;0
Es difícil saber si no es actuado 😅;2023-07-17T16:07:08Z;stUofW3whpE;0
ayy jordan walsh;2023-07-17T16:03:09Z;stUofW3whpE;1
Is that the puebes guy?;2023-07-17T16:01:23Z;stUofW3whpE;0
Interessante;2023-07-17T16:00:53Z;stUofW3whpE;0
dubbing mamang botak nya kocak;2023-07-17T16:00:45Z;stUofW3whpE;0
Best Socola 🎉🎉🎉;2023-07-17T16:00:39Z;stUofW3whpE;0
Спасибо за ролик, прекрасный образ);2023-07-17T15:59:44Z;stUofW3whpE;0
Is him Hank from barry?;2023-07-17T15:58:56Z;stUofW3whpE;0
этому челу так идет этот голос;2023-07-17T15:57:37Z;stUofW3whpE;0
Subscribe and you could be in a future video!;2023-06-10T18:28:15Z;48h57PspBec;0
IVE BEEN ON THAT 1BIL YACHT;2023-07-17T16:33:53Z;48h57PspBec;0
Come to sweden;2023-07-17T16:31:18Z;48h57PspBec;0
Bro was in the Titanic in 1$ boat;2023-07-17T16:28:29Z;48h57PspBec;0
oloco barco muito caro;2023-07-17T16:28:25Z;48h57PspBec;0
SapKarl!!!;2023-07-17T16:28:07Z;48h57PspBec;0
The last one is a cruise ship;2023-07-17T16:22:31Z;48h57PspBec;1
Prefiero tener uno de 300ciento millones de dolares;2023-07-17T16:21:40Z;48h57PspBec;0
Prefiero tener uno de 300ciento millones de dolares;2023-07-17T16:21:40Z;48h57PspBec;0
So, a cruise ship…;2023-07-17T16:13:04Z;48h57PspBec;0
Come las cosas más picantes del mundo;2023-07-17T16:07:18Z;48h57PspBec;0
MR BEAST QUIERO ALGUN DIA CONOSERTE EN PERSONA ¿ PERO QUE ASES CADA DIA;2023-07-17T16:03:49Z;48h57PspBec;1
Help me Mr. Beast please!!!;2023-07-17T15:57:42Z;48h57PspBec;0
Kapan anda ke indonesia, tapi saya dimalaysia;2023-07-17T15:56:18Z;48h57PspBec;0
This is the best channel I've ever seen in my life mrbeat I'm your fan;2023-07-17T15:54:18Z;48h57PspBec;0
Good;2023-07-17T15:47:59Z;48h57PspBec;0
Next titanic;2023-07-17T15:44:40Z;48h57PspBec;0
Man who needs a will smith slap;2023-07-17T15:44:12Z;48h57PspBec;0
"""Put our nuts in your mouth"" 😂😂";2023-07-17T15:40:41Z;48h57PspBec;1
ghn  gb vvgrgge  ddcd  ansar;2023-07-17T15:37:22Z;48h57PspBec;0
He te detes tu tes pa desaboner a ma chain batar je mesuis abonee ata chai je me desabone;2023-07-17T16:34:16Z;ooAwCOP67GQ;0
TranxNYC has it now…;2023-07-17T16:24:58Z;ooAwCOP67GQ;0
Гений;2023-07-17T16:17:26Z;ooAwCOP67GQ;0
❤🎉;2023-07-17T16:07:41Z;ooAwCOP67GQ;0
Suscrito ✌️;2023-07-17T15:31:36Z;ooAwCOP67GQ;0
Profit? He sure knows how to do business 😂😂😂;2023-07-17T15:16:46Z;ooAwCOP67GQ;0
.;2023-07-17T14:56:15Z;ooAwCOP67GQ;0
🙁$0;2023-07-17T14:07:16Z;ooAwCOP67GQ;0
What the heck is going on he-;2023-07-17T13:45:07Z;ooAwCOP67GQ;0
Pawn shops are there to make a profit.;2023-07-17T13:43:43Z;ooAwCOP67GQ;0
Make me go viral by liking my comment please pin me;2023-07-17T13:24:27Z;ooAwCOP67GQ;0
Я сброшу на вас 250 тысяч тонн тротила;2023-07-17T13:17:22Z;ooAwCOP67GQ;0
❤🙏👍👍;2023-07-17T13:17:19Z;ooAwCOP67GQ;0
My name rhafa;2023-07-17T12:59:54Z;ooAwCOP67GQ;0
How;2023-07-17T12:34:16Z;ooAwCOP67GQ;0
"Woww. 








Allahumma sholli wa sallim wa baarik ala Sayyidina Muhammadin wa'ala ali Sayyidina Muhammadin fil awwalin wal aakhirin wa fil mala'il a'laa ilaa Yaumiddin";2023-07-17T12:20:51Z;ooAwCOP67GQ;1
ก้อง;2023-07-17T12:13:55Z;ooAwCOP67GQ;0
"hahahaha








Allahumma sholli wa sallim wa baarik ala Sayyidina Muhammadin wa'ala ali Sayyidina Muhammadin fil awwalin wal aakhirin wa fil mala'il a'laa ilaa Yaumiddin";2023-07-17T12:01:55Z;ooAwCOP67GQ;1
Tanta gente con necesidades y malgastas de  esa manera, se que es su dinero y puede hacer con el lo que quiera, pero creo que abrían muchas mejores obras que se podrían hacer 😢;2023-07-17T11:59:28Z;ooAwCOP67GQ;1
😶😶😶😶😶;2023-07-17T11:45:05Z;ooAwCOP67GQ;0
We spent millions of dollars and months working on this video, I hope you all liked it 😊;2023-05-27T21:40:53Z;FM7Z-Xq8Drc;1
"Please mujhe BHI bolao
😢😊";2023-07-17T16:35:32Z;FM7Z-Xq8Drc;0
Lanke Mr berast;2023-07-17T16:32:08Z;FM7Z-Xq8Drc;0
Bro went hisenberg mode 😂;2023-07-17T16:29:56Z;FM7Z-Xq8Drc;0
Milk;2023-07-17T16:27:42Z;FM7Z-Xq8Drc;0
mr beast ;2023-07-17T16:25:14Z;FM7Z-Xq8Drc;1
Such a crazy idea;2023-07-17T16:24:52Z;FM7Z-Xq8Drc;0
como chingados lo pongo en idioma original ayuda;2023-07-17T16:24:37Z;FM7Z-Xq8Drc;0
❤❤❤❤❤❤❤❤;2023-07-17T16:21:19Z;FM7Z-Xq8Drc;0
😍👑gfezfddf              ghufran.;2023-07-17T16:16:31Z;FM7Z-Xq8Drc;0
This could have gone south with one having heart explodes;2023-07-17T16:03:44Z;FM7Z-Xq8Drc;0
"Can Indonesians get gifts?

￼

￼

￼

￼Terjemahan langsung";2023-07-17T15:59:37Z;FM7Z-Xq8Drc;0
Help me Mr. Beast please!!!!;2023-07-17T15:58:07Z;FM7Z-Xq8Drc;0
Saya ingin ikut tur;2023-07-17T15:56:46Z;FM7Z-Xq8Drc;0
เวลาปวดขี้ ปวดเยี่ยวทำไง;2023-07-17T15:50:12Z;FM7Z-Xq8Drc;0
Thank you for making videos!;2023-07-17T15:44:45Z;FM7Z-Xq8Drc;0
А, Русскому Бездомному, помощь бывает, я прошу только палатку??????? Меня зовут Виктор, я смотрю ты реальный!!!;2023-07-17T15:44:02Z;FM7Z-Xq8Drc;0
